"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","Eksponen","15"
"X","Ganjil","2","Barisan dan Deret","15"
"X","Ganjil","3","Perbandingan Trigonometri","15"
"X","Ganjil","4","Sistem Persamaan dan Pertidaksamaan Linear","15"
"X","Genap","5","Persamaan dan Fungsi Kuadrat","15"
"X","Genap","6","Representasi dan Interpretasi Data","15"
"X","Genap","7","Peluang","14"
