"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","Pengantar sosiologi sejarah kelahiran dan perkembangan sosiologi.","5"
"X","Ganjil","2","Deinisi, objek kajian, dan fungsi sosiologi.","5"
"X","Ganjil","3","Penelitian sosial metode kualitatif, kuantitatif, dan campuran (mixed methods).","5"
"X","Ganjil","4","Stratiikasi sosial","5"
"X","Genap","5","Status dan peran sosial","5"
"X","Genap","6","Mobilitas sosial","5"
"X","Genap","7","Ragam gejala sosial","5"
"X","Genap","8","Diferensiasi sosial dan budaya","5"
