"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","1 - Mengungkap Fakta Alam Secara Objektif","18"
"X","Ganjil","2","2 - Mengungkapkan Kritik Lewat Senyuman","18"
"X","Ganjil","3","3 - Menyusuri Nilai Dalam Cerita Lintas Zaman","18"
"X","Genap","4","4 - Belajar Menjadi Negosiator Ulung","18"
"X","Genap","5","5 - Memetik Keteladanan dari Biografi Tokoh Inspiratif","18"
"X","Genap","6","6 - Berkarya dan Berekspresi Melalui Puisi","18"
