"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","Konsep Ilmu Ekonomi","8"
"X","Ganjil","2","Permasalah Ekonomi dalam Sistem Ekonomi","8"
"X","Ganjil","3","Peran Pelaku Ekonomi dalam Kegiatan Ekonomi","8"
"X","Genap","4","Terbentuknya Harga Pasar","8"
"X","Genap","5","Lembaga Jasa Keuangan di Indonesia","8"
