"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Kolonialisme Dan Perlawanan Bangsa Indonesia","12"
"XI","Ganjil","2","Pergerakan Kebangsaan Indonesia","12"
"XI","Genap","3","Di Bawah Tirani Jepang","12"
"XI","Genap","4","Proklamasi Kemerdekaan","12"
"XII","Ganjil","1","Perjuangan Mempertahankan Kemerdekaan","12"
"XII","Ganjil","2","Demokrasi Liberal Hingga Masa Demokrasi Terpimpin (1950—1966)","12"
"XII","Genap","3","Indonesia Masa Orde Baru (1966—1998)","12"
"XII","Genap","4","Indonesia Masa Reformasi","12"
