"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","1 Informatika dan Kemampuan Umum","11"
"X","Ganjil","2","2 Berpikir Komputasional","11"
"X","Ganjil","3","3 Teknologi Informasi dan Komunikasi","11"
"X","Ganjil","4","4 Sistem Komputer","11"
"X","Ganjil","5","5 Jaringan Komputer dan Internet","11"
"X","Genap","6","6 Analisis Data","11"
"X","Genap","7","7 Algoritma dan Pemrograman","11"
"X","Genap","8","8 Dampak Sosial Informatika","11"
"X","Genap","9","9 Praktika Lintas Bidang","10"
