"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Digital Literacies and My Identities","6"
"XI","Ganjil","2","Love Your Environment","6"
"XI","Ganjil","3","Healthy Life for a Healthy Future","6"
"XI","Genap","4","Indonesian Environmental Figures","6"
"XI","Genap","5","Personal Money Management","6"
"XII","Ganjil","1","Narrative Text: The Story Of A Friendly Future","2"
"XII","Ganjil","2","Argumentative Text: E-Money","2"
"XII","Genap","3","Hortatory Exposition: Netiquette","2"
"XII","Genap","4","Discussion Text: Carbon Footprints","2"
