"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","Pancasila sebagai Pemersatu Bangsa","16"
"X","Ganjil","2","Membangun Budaya Taat Hukum","16"
"X","Genap","3","Mengelola Kebinekaan sebagai Modal Sosial Pembangunan Nasional","16"
"X","Genap","4","Menjadi Warga Negara yang Baik","16"
