"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","Pengantar Ilmu Sejarah","6"
"X","Ganjil","2","Penelitian Sejarah","5"
"X","Ganjil","3","Kehidupan Prasejarah di Indonesia","5"
"X","Ganjil","4","Kerajaan Hindu-Budha di Indonesia","5"
"X","Genap","5","Penulisan Sejarah (Historiografi)","5"
"X","Genap","6","Sejarah dan Teori Sosial","5"
"X","Genap","7","Perkembangan Kerajaan Islam di Indonesia","5"
