Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
III,Ganjil,1,"Kawan Seiring",54
III,Ganjil,2,"Yuk, Berpendapat!",54
III,Genap,3,"Pribadi yang Hebat",54
III,Genap,4,"Menyelamatkan Lingkungan",54
IV,Ganjil,1,"Sudah Besar",26
IV,Ganjil,2,"Di Bawah Atap",28
IV,Ganjil,3,"Lihat Sekitar",26
IV,Ganjil,4,"Meliuk dan Menerjang",28
IV,Genap,5,"Bertukar dan Membayar",26
IV,Genap,6,"Satu Titik",28
IV,Genap,7,"Asal-Usul",28
IV,Genap,8,"Sehatlah Ragaku",26
