Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
V,Ganjil,1,"Bilangan Cacah Sampai 100.000",16
V,Ganjil,2,"KPK dan FPB",24
V,Ganjil,3,"Penjumlahan dan Pengurangan Pecahan",20
V,Ganjil,4,"Luas dan Keliling Bangun Datar",24
V,Genap,5,"Pengolahan Data",20
V,Genap,6,"Sudut",16
V,Genap,7,"Membandingkan Ciri-Ciri Bangun Datar",16
V,Genap,8,"Bilangan Cacah Sampai 1.000.000",16
VI,Ganjil,1,"Pecahan dan Desimal",30
VI,Ganjil,2,"Rasio",34
VI,Genap,3,"Kubus dan Balok",30
VI,Genap,4,"Peluang",24
