"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Kelompok Sosial","8"
"XI","Ganjil","2","Permasalahan Sosial Akibat Pengelompokan Sosial","8"
"XI","Genap","3","Konflik Sosial","8"
"XI","Genap","4","Membangun Harmoni Sosial","8"
"XII","Ganjil","1","Perubahan Sosial","2"
"XII","Ganjil","2","Globalisasi Dan Masyarakat Digital","2"
"XII","Genap","3","Masalah Sosial Akibat Globalisasi Dan Era Digital","2"
"XII","Genap","4","Pemberdayaan Komunitas Berbasis Kearifan Lokal","2"
